"B11016_001E","B11016_001M","B11016_002E","B11016_002M","B11016_003E","B11016_003M","B11016_004E","B11016_004M","B11016_005E","B11016_005M","B11016_006E","B11016_006M","B11016_007E","B11016_007M","B11016_008E","B11016_008M","B11016_009E","B11016_009M","B11016_010E","B11016_010M","B11016_011E","B11016_011M","B11016_012E","B11016_012M","B11016_013E","B11016_013M","B11016_014E","B11016_014M","B11016_015E","B11016_015M","B11016_016E","B11016_016M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Family households","Margin of Error!!Total!!Family households","Estimate!!Total!!Family households!!2-person household","Margin of Error!!Total!!Family households!!2-person household","Estimate!!Total!!Family households!!3-person household","Margin of Error!!Total!!Family households!!3-person household","Estimate!!Total!!Family households!!4-person household","Margin of Error!!Total!!Family households!!4-person household","Estimate!!Total!!Family households!!5-person household","Margin of Error!!Total!!Family households!!5-person household","Estimate!!Total!!Family households!!6-person household","Margin of Error!!Total!!Family households!!6-person household","Estimate!!Total!!Family households!!7-or-more person household","Margin of Error!!Total!!Family households!!7-or-more person household","Estimate!!Total!!Nonfamily households","Margin of Error!!Total!!Nonfamily households","Estimate!!Total!!Nonfamily households!!1-person household","Margin of Error!!Total!!Nonfamily households!!1-person household","Estimate!!Total!!Nonfamily households!!2-person household","Margin of Error!!Total!!Nonfamily households!!2-person household","Estimate!!Total!!Nonfamily households!!3-person household","Margin of Error!!Total!!Nonfamily households!!3-person household","Estimate!!Total!!Nonfamily households!!4-person household","Margin of Error!!Total!!Nonfamily households!!4-person household","Estimate!!Total!!Nonfamily households!!5-person household","Margin of Error!!Total!!Nonfamily households!!5-person household","Estimate!!Total!!Nonfamily households!!6-person household","Margin of Error!!Total!!Nonfamily households!!6-person household","Estimate!!Total!!Nonfamily households!!7-or-more person household","Margin of Error!!Total!!Nonfamily households!!7-or-more person household","id","Geographic Area Name"
"1030","119","754","147","444","138","168","102","86","91","39","37","0","12","17","29","276","112","276","112","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276055022","Block Group 2, Census Tract 6055.02, Howard County, Maryland"
"511","99","413","107","166","66","160","92","21","33","34","35","0","12","32","39","98","57","91","58","7","13","0","12","0","12","0","12","0","12","0","12","1500000US240276055023","Block Group 3, Census Tract 6055.02, Howard County, Maryland"
"475","92","336","88","217","84","50","52","57","40","12","20","0","12","0","12","139","95","117","97","22","29","0","12","0","12","0","12","0","12","0","12","1500000US240276055031","Block Group 1, Census Tract 6055.03, Howard County, Maryland"
"1166","160","767","141","280","102","226","97","70","67","71","64","120","84","0","12","399","123","254","98","104","65","41","65","0","12","0","12","0","12","0","12","1500000US240276055032","Block Group 2, Census Tract 6055.03, Howard County, Maryland"
"749","125","542","140","170","109","249","124","45","52","28","44","50","56","0","12","207","84","193","83","14","23","0","12","0","12","0","12","0","12","0","12","1500000US240276055033","Block Group 3, Census Tract 6055.03, Howard County, Maryland"
"809","35","780","47","170","58","193","66","276","76","108","59","33","25","0","12","29","30","9","15","20","28","0","12","0","12","0","12","0","12","0","12","1500000US240276055041","Block Group 1, Census Tract 6055.04, Howard County, Maryland"
"1155","93","971","90","189","69","296","90","324","86","84","46","71","32","7","11","184","77","140","62","44","54","0","12","0","12","0","12","0","12","0","12","1500000US240276055051","Block Group 1, Census Tract 6055.05, Howard County, Maryland"
"673","66","658","61","142","53","191","70","226","76","94","45","5","9","0","12","15","24","15","24","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276055052","Block Group 2, Census Tract 6055.05, Howard County, Maryland"
"1199","214","568","168","319","147","155","111","38","45","0","12","56","80","0","12","631","222","537","218","94","73","0","12","0","12","0","12","0","12","0","12","1500000US240276056011","Block Group 1, Census Tract 6056.01, Howard County, Maryland"
"656","150","256","118","193","115","9","15","41","37","13","22","0","12","0","12","400","119","248","99","142","114","10","18","0","12","0","12","0","12","0","12","1500000US240276056012","Block Group 2, Census Tract 6056.01, Howard County, Maryland"
