"B20017_001E","B20017_001M","B20017_002E","B20017_002M","B20017_003E","B20017_003M","B20017_004E","B20017_004M","B20017_005E","B20017_005M","B20017_006E","B20017_006M","B20017_007E","B20017_007M","GEO_ID","NAME"
"Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","id","Geographic Area Name"
"32361","12235","34524","17958","44231","8476","-","**","30787","23115","-","**","-","**","1500000US240317034014","Block Group 4, Census Tract 7034.01, Montgomery County, Maryland"
"34150","14242","33800","9820","44567","12189","11384","5529","38295","26058","55882","12538","9405","2341","1500000US240317034021","Block Group 1, Census Tract 7034.02, Montgomery County, Maryland"
"42419","8574","49474","6918","50549","5682","-","**","27037","15284","54167","13592","10200","4330","1500000US240317034022","Block Group 2, Census Tract 7034.02, Montgomery County, Maryland"
"36078","7844","44000","15753","52154","10140","8917","7164","27500","7504","36741","11925","-","**","1500000US240317034031","Block Group 1, Census Tract 7034.03, Montgomery County, Maryland"
"39934","8688","47733","7930","49107","11693","25208","16804","30938","11443","39531","21968","-","**","1500000US240317034032","Block Group 2, Census Tract 7034.03, Montgomery County, Maryland"
"32273","12758","48631","12807","53472","8830","25938","17185","28902","4637","31435","6808","16473","1703","1500000US240317034033","Block Group 3, Census Tract 7034.03, Montgomery County, Maryland"
"33500","11858","41477","5416","48646","10702","18021","13096","26576","5052","42813","30505","15221","6488","1500000US240317034041","Block Group 1, Census Tract 7034.04, Montgomery County, Maryland"
"26457","3119","27159","5416","31377","4633","10500","4715","25920","2346","33234","2062","10417","2133","1500000US240317034042","Block Group 2, Census Tract 7034.04, Montgomery County, Maryland"
"21104","3587","29038","11024","43750","18350","16602","8454","19609","2990","23703","5694","10324","4106","1500000US240317035011","Block Group 1, Census Tract 7035.01, Montgomery County, Maryland"
"32478","13841","43906","7130","53169","9407","13909","6102","31479","1233","50972","29013","30197","6544","1500000US240317035012","Block Group 2, Census Tract 7035.01, Montgomery County, Maryland"
"32176","12456","-","**","60903","30877","10714","9501","32383","14415","43919","26717","-","**","1500000US240317035013","Block Group 3, Census Tract 7035.01, Montgomery County, Maryland"
"31086","5465","31929","19937","41750","25679","-","**","27479","11014","-","**","25345","14094","1500000US240317035014","Block Group 4, Census Tract 7035.01, Montgomery County, Maryland"
"57896","7989","60222","8880","70208","16911","12392","1699","53750","14133","70660","11757","-","**","1500000US240317035021","Block Group 1, Census Tract 7035.02, Montgomery County, Maryland"
