"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_001MA","B25004_001EA","B25004_002E","B25004_002EA","B25004_002M","B25004_002MA","B25004_003E","B25004_003EA","B25004_003M","B25004_003MA","B25004_004E","B25004_004M","B25004_004MA","B25004_004EA","B25004_005E","B25004_005M","B25004_005MA","B25004_005EA","B25004_006E","B25004_006EA","B25004_006M","B25004_006MA","B25004_007E","B25004_007M","B25004_007MA","B25004_007EA","B25004_008E","B25004_008M","B25004_008MA","B25004_008EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!For rent","Annotation of Estimate!!Total!!For rent","Margin of Error!!Total!!For rent","Annotation of Margin of Error!!Total!!For rent","Estimate!!Total!!Rented, not occupied","Annotation of Estimate!!Total!!Rented, not occupied","Margin of Error!!Total!!Rented, not occupied","Annotation of Margin of Error!!Total!!Rented, not occupied","Estimate!!Total!!For sale only","Margin of Error!!Total!!For sale only","Annotation of Margin of Error!!Total!!For sale only","Annotation of Estimate!!Total!!For sale only","Estimate!!Total!!Sold, not occupied","Margin of Error!!Total!!Sold, not occupied","Annotation of Margin of Error!!Total!!Sold, not occupied","Annotation of Estimate!!Total!!Sold, not occupied","Estimate!!Total!!For seasonal, recreational, or occasional use","Annotation of Estimate!!Total!!For seasonal, recreational, or occasional use","Margin of Error!!Total!!For seasonal, recreational, or occasional use","Annotation of Margin of Error!!Total!!For seasonal, recreational, or occasional use","Estimate!!Total!!For migrant workers","Margin of Error!!Total!!For migrant workers","Annotation of Margin of Error!!Total!!For migrant workers","Annotation of Estimate!!Total!!For migrant workers","Estimate!!Total!!Other vacant","Margin of Error!!Total!!Other vacant","Annotation of Margin of Error!!Total!!Other vacant","Annotation of Estimate!!Total!!Other vacant",
"1500000US240010021002","Block Group 2, Census Tract 21, Allegany County, Maryland","91","63","null","null","4","null","6","null","0","null","12","null","14","17","null","null","0","12","null","null","4","null","8","null","0","12","null","null","69","55","null","null",
"1500000US240010022001","Block Group 1, Census Tract 22, Allegany County, Maryland","57","62","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","57","62","null","null",
"1500000US240010022002","Block Group 2, Census Tract 22, Allegany County, Maryland","160","67","null","null","15","null","23","null","0","null","12","null","41","38","null","null","0","12","null","null","0","null","12","null","0","12","null","null","104","58","null","null",
"1500000US240010022003","Block Group 3, Census Tract 22, Allegany County, Maryland","118","67","null","null","0","null","12","null","0","null","12","null","16","26","null","null","0","12","null","null","0","null","12","null","0","12","null","null","102","64","null","null",
"1500000US240037011011","Block Group 1, Census Tract 7011.01, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037011012","Block Group 2, Census Tract 7011.01, Anne Arundel County, Maryland","109","80","null","null","24","null","39","null","0","null","12","null","55","55","null","null","0","12","null","null","30","null","46","null","0","12","null","null","0","12","null","null",
"1500000US240037011013","Block Group 3, Census Tract 7011.01, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037011014","Block Group 4, Census Tract 7011.01, Anne Arundel County, Maryland","44","45","null","null","21","null","30","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","23","35","null","null",
"1500000US240037011021","Block Group 1, Census Tract 7011.02, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037011022","Block Group 2, Census Tract 7011.02, Anne Arundel County, Maryland","42","64","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","42","null","64","null","0","12","null","null","0","12","null","null",
"1500000US240037011023","Block Group 3, Census Tract 7011.02, Anne Arundel County, Maryland","49","57","null","null","33","null","51","null","0","null","12","null","0","12","null","null","0","12","null","null","16","null","26","null","0","12","null","null","0","12","null","null",
"1500000US240037011024","Block Group 4, Census Tract 7011.02, Anne Arundel County, Maryland","60","85","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","60","85","null","null",
"1500000US240037012001","Block Group 1, Census Tract 7012, Anne Arundel County, Maryland","15","23","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","15","null","23","null","0","12","null","null","0","12","null","null",
"1500000US240037012002","Block Group 2, Census Tract 7012, Anne Arundel County, Maryland","142","114","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","98","null","97","null","0","12","null","null","44","69","null","null",
"1500000US240037012003","Block Group 3, Census Tract 7012, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037012004","Block Group 4, Census Tract 7012, Anne Arundel County, Maryland","155","97","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","155","null","97","null","0","12","null","null","0","12","null","null",
